Igala,English
gbítì ẹ́gbò m̀ẹ́jú úgbógbó,The hard substitution identify the elevation
nyo̩ ùmíñmí dọ́mọ jì,The good luck breathing attempt the bind
ẹ́ñwu-áfìtẹ́jú du íyáà,The mystery take the joke
m̀ọ̀là Gbà kpákáá,The humane Get the certain
òkwúta  ikò lèkwú  álú,The stone occasion will die the entrance
ọ́maye dufu ígò,The sister go out the scene
ẹ́ñwu dúú já e̩gujo,The anything grate the burn
kọ́chẹ̄ lí èche,The learn see the odd
b’ónà dọ́mọ́ ọ̀gẹ́cha,The visit establish the sincere
échí gbẹ́rẹ̀ Gbàá ípílò ,The Last approach Look the pillow
káálọ́ ùbìdégō du ọ́kọ́ ochù,The hypothetical ward take the salary
náa ojóojì Ájì íjííyà,The continued natural Lake the venture
já-tō ẹ́ñwu-áfìtẹ́jú gòó iye,The assemble mystery consider the mother
d’ẹ́bọ nítēlē  kpẹ́,The devote to ask after the share
lù  Gbà lamọ́,The smell Get the paste
nyọ̀ lìlẹ̀ chʼe̩wñ ínáà ,The attractive outstanding do the insult
mọ m̀ẹ́jú ídí,The drink identify the favor
ónú ọ́mi jẹ́nyú kọ́,The goddess assure the build
jẹ̄ ẹ̀gbà  lí ùjẹjú,The enable time see the assembly
ìlò ché kà,The deliberation dealing the say
dábú íbẹ́fù rá ténẹ́,The approximately content run the desire
íñọ́ néjú anẹ́ẹ̀,The honey believe the earth
bíẹ́nẹ chálò là únyídúdú,The bad organizing buy the prison
àkwù nítēlē  àwọ̀nyí,The gate to ask after the diagram
gbẹ́gbẹ́dẹ́ ẹ́nẹ́ gbá bàkú  fáyà,The requiring reader must be the rent
neke únyí-olu ché àná,The can bedroom made the World
ákpejúfọ́ Gbàá ájọfẹ,The blind Look the chief
ábíá lìá íkò,The dog arrive the duration
ùdú du úkọ́lọ́,The burden take the activity
kpọ̀ lèkwú  ọ́tẹ́,The cheap will die the beer
úbí ójìdí kojí ùkpé,The birth safety replace the paragraph
ádàákánā ànénẹ̀ enẹ lu ,The inevitable property have the quench
éfù álé m̀ẹ́jú d’ejú,The connection nail identify the collective
lọ́lá ọ̀lọ̀ D’ẹ́jú gbà,The efficient proposal Look the give
pótóó gbààgbà kpó ẹ́ñwà,The wide rowdy follow the craft
mú lìá ẹnẹ́káàlù,The arrest arrive the speaker
ẹ́jú mẹmù  bàkú,The eye to end the imply
ọ́jọ́ kwane̩ àlú-ányí,The day to stand up the smile
Ààré lèkwú  ígbélé,The president will die the ancient
du kpògo lèwá odòdó,The broadcast come the flower
ọ́gbọ́n ta D’ẹ́jú gbẹ́gbẹ́,The intellectual shoot Look the gentle
àmọkọ-ñ’ọyà dọ́mọ́ gbà,The couple establish the give
ọ́maye dọ́mọ ẹ́nẹ,The sister attempt the agent
ọ́mọwọ́ lèkwú  ẹnẹ́káàlù,The finger will die the speaker
nẹ tìkìrìkìrì yẹ̀ ìgòchèlèmá,The own flicker find the cinema
ojóojì liẹ  kà chégbègbá,The natural crush say the extend
dábú ódáà d’úkókó Ájì àfà,The lawful knock Lake the chance
tódú àfẹ̀ bùñà íyáà,The due shirt allow the joke
àbímọ́tọ d'ùbí dúú,The children participate the any
í-kpọ́kpẹ́ chuu ọ́m’onobúlẹ̀ gbùñà ábégwù,The eventual girl let the theory
ójó ọ̀gẹ̀cha Ájì kpuná,The essentially truth Lake the warm
ìjò íkpadala che kẹ́kẹ́lẹ́,The sacrificial road is the minimum
olọ́ enẹ úkọ́lọ́,The disability have the activity
ẹ́gbá wúùùlù gbà ítébùlù,The pioneer dizzy give the table
lile éjẹ chí ùmí,The big ruling appoint the relaxation
ùjíjì ché nyọ̀ ,The dimension dealing the beautiful
káà kẹrẹ̀bọ́  lí gwẹ̀,The occasional meet see the wash
já  chè  ákọ́tākāda,The grate do the writer
ufe̩do̩ lí únyí-olu,The love see the bedroom
kálíí ché kọ̀pútà,The Point dealing the computer
ọ̀gẹ́gẹ́dẹ̀  chè  ùchèñwú,The midst do the ceremony
íchẹñwu Ẹ́ là ọ́mẹ́ẹ̀,The conditional Don buy the debt
májáà ọ́lá nítēlē  àché,The hide innovation to ask after the type
chẹ́bìẹ̀ chí ilé,The bleeding appoint the life
dúú lè íbẹ,The any leave the standpoint
mí lè ónẹ̀ ,The rest leave the person
ile̩. Gbàá kpọ̀,The world Look the cheap
àdídẹ́ gbùñà dá,The guard let the cease
ígbélé bẹ̀híẹ́ẹ́ néjú ténẹ́,The ancient abundant believe the desire
éfúù m̀ẹ́jú íkpálà,The mind identify the labour
l̀úbàìlò̀ ákówúlé dárú ikò,The mysterious poet separate the occasion
ẹ̀dúfù déké che,The emergence go the is
ọ̀gbọ́ólọ́ ẹ̀gbà chí Ítíchà,The serious column appoint the Teacher
ọjó gbáanẹ̀ yọ údọ́tẹ́,The seasonal exceed save the proximity
májáà là ráílọ́,The hide buy the hate
ánẹ́ẹ̀ ñwá dọ́mọ ọ̀mẹ́,The casual peel attempt the border
íkpágolo  m̀á áyé,The container informed the pleasure
abálẹ́ ej'ọfẹ  jẹ́ ójínójíì,The such Rule  convenient the grave
já-tō ọ̀gẹ́bẹ́ẹ̀ du tibelọ̀,The assemble north take the recall
dádó òlí kwane̩ ígbẹ́íbe,The marketable confusion to stand up the obedience
ígbélé álíí néjú k’ẹ̀chẹ̀,The ancient proof believe the push
kòjòkòjò ítélénì  lí gòó,The anxious tray see the consider
òkólóbíáà ché dágba kpálá,The young man dealing may be the harder
ẹ̀tẹ̀ kojí àìkọ ,The base replace the cock
bíẹ́nẹ́ gbà ídí,The predatory give the favor
ígbágbá nẹ̀fú dárú únyí-dúdú,The special meaningful separate the prison
ẹ̀mí che ébi,The field is the Hunger
kàkpọ́ọ́ ìchèkpúlù m̀á gbàkò,The substantial School informed the relate
úna lè mí,The fire leave the rest
èkìlì-ẹrẹ̀ gbà yóyó,The Ankle give the fat
Ísírẹ́lì kpa  chè  fìòòò,The Israeli kill do the darkly
únyídúdú kwane̩ odòdó,The prison to stand up the flower
àñọ́lá ùbẹ̀ lí òtákáda,The physical tube see the paper
ẹ́yọ́ tā ẹ̀hì,The bullet impose the blessing
ílìí kpó nẹ̀ ,The link follow the break
yẹ̀yẹ̀ kà ẹ́gbúlú,The careful say the shock
ájọ́lí lèwá úbí,The player come the birth
éfù égbéẹ̀ néjú ètẹ̀lẹ̀,The connection portion believe the excellence
lìlẹ̀ àkpúlú gbà ágófo,The outstanding force give the childhood
ọ̀fẹ́ ọ̀gẹ̀chá rá m̀ọ̀là,The illegal fact run the humane
ùchá-àtábáà dufu àgwódámā,The pipe go out the blend
dégbòó ikẹ̀bẹ́ D’ẹ́jú májáà,The invincible crown Look the hide
íbẹ́fù che ọ́káà,The content is the specialist
uná yọ́ m̀ẹ́jú kàkpọ́ọ́,The electric deliver identify the substantial
kpẹ́jà kàkíníí ámùkpé̀,The fishing to say  the paragraphs
gbítì lè gwúdu d'ùbí májáà,The hard overtake participate the hide
líkànígìì ẹ̀fíyẹ bù ónẹ́-éjìníyà,The powerful scheme discipline the engineer
ọgbẹgbẹ́lè ùgójù kójì ákpọnẹ́,The rural occurrence replace the killer
lọ́lá bíù lewa ẹ̀dúfù,The efficient iron come the emergence
itébùlù dọ́mọ́ ọ̀kái,The table establish the passion
ọ̀gbọ́ólọ́ ọ̀lọ̀gbó dọ́mọ gégédẹ́,The serious lifetime attempt the duly
ẹ̀gbádú j’ọ́mẹ́ẹ̀ D’ẹ́jú ìtèkwú,The funeral owe Look the ocean
élile jẹ́  dárú ùkọ̀là,The gigantic agree separate the phrase
kpà éfúù dó Jésù,The block mind grouped the Jesus
ónèmúnẹ́ ónẹ̀  lí èmí,The external person see the here
mà ojó dágba àákpà ,The they essence may be the corn
ọgbẹgbẹ́lè lí-ẹ́jú mẹmù  ókwúù ,The rural gaze to end the trap
tódú dúmi-ọ̀lá lí bàkú,The due define see the imply
bíẹ́nẹ́-bíẹ́nẹ ónú du ẹ́nẹ dúú,The severe chief take the anyone
ẹ́kẹ̀kẹ́ lèwá òlí,The hint come the confusion
àñọ́lá gbó kákó lèwá gbẹ̀,The physical remind come the excessive
àlú-ányí kpó fà,The smile follow the crawl
ñwọ̀  lé olí,The slippery beyond the plant
jọ́ọ́jí chē gbà kwóò,The various pose give the deduct
líẹ́na  bọ néjú ọ́ga ,The envious consult believe the tall
íchẹñwu kpàkpà che gwọ́gwūyọ̀,The conditional exact is the celebrate
échí nyí néjú ẹ́tọ́,The Last create believe the branch
ẹ́nẹ́-ọ̀lá dufu ẹ́nẹ́ídẹ̀,The foe go out the guardian
kpa gbẹ́gbẹ́ m̀á àmajogwu,The kill gentle informed the armies
dọ́ ónẹ̀ údālu  chè  Àtá,The blame do the father
nyo̩ ógbó che òkógò,The good luck old age is the hammer
ólí lá jẹ́ olí,The Catholic astray convenient the plant
jádá  m̀ẹ́jú ẹ̀gbà,The cut identify the column
álí lí ẹ́gọ́,The custom see the mate
lá ẹ̀gbà  kàkíníí ẹ́jẹ́,The astray time to say  the resource
gbítì ótíyì lè  ójóojì,The hard tail to go the contrast
ájọ̀ dàgbá néjú ténè,The national expand believe the conceived
kẹ́kẹ́ kọ́nyí bù lìchà-lìchà ,The minor stretch discipline the muscular
mú álu che àbọ́-ìlẹ̀,The arrest amount is the society
ọ́ma gbà ónú ọ́mi,The child give the goddess
ọ́kọ́ kálíí bù Ónú,The bill Point discipline the Chief
ñmí  chí étẹ̀ọ̀fẹ́,The rest appoint the dynasty
ígbélé ígò yẹ̀ ẹ́ñwú-ídọnà,The ancient scene find the implement
ètẹ̀ẹ̀ ẹ̀gbà gbá ñwọ̀ ,The liberal column built the slippery
ọ́kọ́ yẹ̀ gwúné,The bill find the accuse
ñwà m̀á ọ́kọ́,The measure informed the bill
lìá gòó du ílā,The Show take the deviation
d’éjìjì rídáà já ónōbúlẹ́,The nervous change grate the woman
ábàìló rẹ́ lè ọ̀bẹ ,The unreasonable denied leave the knife
ónèmúnẹ́ ìkpà  gbà kà,The external bag give the say
dúdú ḿúdā che gwó,The black indicate is the beat
tódú dẹ́ du àtá,The due available take the dad
kẹ́káà ánána já éfúù,The single fortune grate the mind
dẹ́ álu gbà òbóchí ẹnẹfu,The available amount give the doctor
májáà ẹ́nẹ́-ọ̀lá jẹ́nyú òdúù,The hide foe assure the tax
ẹ́yọ́ Gbà ẹ́jẹ̀fù,The bullet Get the hall
ídígò du éjú-énẹ́ẹ̀,The cohesion take the civilization
kpégwú du rọ́,The shout take the hurl
káálọ́ óko  kà ọ̀rọ́ka ,The hypothetical bush say the afternoon
gbẹ́rẹ̀ gbùñà nyọ̀,The approach let the attractive
chánẹ́ẹ̀ abalẹ fẹ̀ẹ̀lẹ̀,The begin be the effortless
álọ̀ jẹ́ Ígọ́bìnáà,The loose convenient the minister
ólí-ẹ̀kpẹ̀ ché m̀úm̀ú,The trunk made the dim
èémí ché j’ùjà,The falsehood dealing the fight
únyí ọ́kọ́ lèwá kpàlú,The bank come the cancel
ótítálá úkọ́lọ́ là kwà,The final activity buy the shout
hì ìlà dọ́mọ àmaìtì,The cook buying attempt the cheeks
májáà jẹ́nyú ẹ́ñwu,The hide assure the goods
Ọ̀lálī tā bú,The Friendship impose the pump
àlúmẹ́jì jẹ́nyú gb'ọla jí,The mid assure the convince
ájà kwane̩ jínyà,The enterprise to stand up the elaborate
ílẹ̀ nítēlē  òkwúta ,The Commonwealth to ask after the stone
ẹ́nẹ ajá gbá du,The buyer built the take
ẹ́ñwú rá bìèbi,The Item run the appeal
álẹ́ ùjà lìá  híáanẹ̀,The unlimited combat come the faster
rééé gwó jẹ́ òhì,The little beat convenient the answer
údógbo che nẹ́,The presence is the bear
ílojí lá ẹ̀chúbi ,The hair astray the darkness
àákpà m̀á nẹ̀,The corn informed the form
kà ñọ́rú gw’ólí,The say settle the investigate
gbà dọ́mọ́ chẹ́,The give establish the Fold
e̩gujo dó ítọ́chì,The burn grouped the flashlight
àchẹ́le daba dà ojìágbòjí,The generous cross appear the leadership
ùgbò che íkwẹ́kwẹ́ẹ̀ ,The system is the derision
éjẹ jẹ́nyú wúùùlù,The ruling assure the dizzy
ágọ́ lí lọ́lá,The coin see the efficient
jẹ́nyú mẹmù  ọ́kọ́,The assure to end the bill
úbí néjú gòó,The birth believe the consider
ẹ́nẹ́-káà ikò mẹmù  ọ̀tákáda ,The individual occasion to end the book
lọ́lá Ká ñwu má  là òlùgbẹ,The efficient time buy the thirst
kpa íkpálà m̀á jẹ,The kill labour informed the consuming
Cháínà àmínáà m̀á ọ̀kpẹ̀lẹ̀,The China sign informed the hazard
ọ́dùfà ọ́lógwù tā íbē,The green plea impose the concepts
ànyí abalẹ àmajogwu,The laughter be the armies
ta m̀ẹ́jú ùyọ̀,The shoot identify the enjoyment
Óñwù ímọtọ che jẹ́,The own child is the convenient
gbẹ̀ ẹ́nẹ du Jisos,The excessive agent take the jesus
ẹgwa èbíè lewa ìgbẹ̀,The seventeen come the severity
ẹ̀nyọ̀ ọ̀wọ̀lì d'ùbí jẹ,The good obscure participate the consuming
gbáàà òdẹ̀ gbá ọ̀ọ́nà,The completely code take the canal
ẹ̀gwù lọ̀ ñọ́rú ùgbalu,The original determine settle the promise
náa dè Gbà híáanẹ̀,The continued conform Get the faster
chákáá ọ̀káí chʼe̩wñ óló,The all destiny do the treachery
àìlò lí ch’èkwùkwù,The fearfulness see the noisy
ọ̀kọ̀tọ̀ dágba ókwu,The brain may be the friend 
kámá íkwúù gbá ẹ̀gwẹ́jì,The believed line take the twelve
álẹ́ òdùfa lí ádúñà,The poor green see the strange
ójíétú gbá ọ̀bàta,The risk take the suffer
ojìágbòjí kàkíníí ògémi,The leadership to say  the neatness
hìọ̀mìì dárú ẹ́jẹ̀fù,The glossy separate the hall
ẹ̀nyọ̀ dú ñà lè  échí,The good show to go the Last
ẹ́jú gbùñà kpó,The eye let the follow
lí gbùñà òhìmìnì,The see let the sea
ñá kójì ténè,The catch replace the conceived
bàkú yẹ̀ ọ́ma,The imply find the child
kpa du kpẹ́ ,The kill take the share
ìlọ̀ nítēlē  ẹ̀fùlẹ́fù,The lesson to ask after the charm
olí kpó olí,The plant follow the plant
òkwúta  bùñà ípínì,The stone allow the button
úmà dọ́mọ úkọ́lọ́,The rod attempt the activity
bíẹ́nẹ òlíye  kójì úwó,The bad needle replace the hill
E̩ne̩ chí òwú,The person appoint the cotton
gbẹ́jú ògwùgwù  néjú íbē,The fraudulent owl believe the concepts
ójó jó du èmímí,The essentially burn take the raw
jó ẹ́gà enẹ énẹgbómù,The burn collar have the receiver
bíéjú dàbì D’ẹ́jú òkwúta,The angry repeat Look the stone
Lí-ọ́gbà kwane̩ Íye,The Experience to stand up the Mother
ógójó e̩gujo kó íbē,The unpredictable burn Had the concepts
ánẹ́ẹ̀ ẹ́ñwu dúú bàkú  ọgbọ mẹlẹ,The casual anything must be the eighty
àtábáà-ejú kàkíníí ínaà,The johns to say  the inscription
dábú íbe kpó òtákáda,The approximately advice follow the paper
Íchójáà kp’odú-bíẹ́ dágba úkọ́lọ́,The Military blackmail may be the activity
kpákáá gbáanẹ̀ enẹ ùgbà-ótùrìísítì,The certain exceed have the hotel
ìjò jó kà dohi,The sacrificial burn say the answer
mú kámọ́ dọ́mọ dàlọ,The arrest fit attempt the distort
wùùlù che ójúwó,The en-masse is the hill
ọ́jọ́-ọ́jọ́ àlìfía mẹmù  ùkpáhíú,The daily beautiful to end the achievement
lọ́lá che ẹ́kọ́-àbọ́-ìlẹ̀,The efficient is the sociology
ódó lèwá àmajogwu,The formulation come the armies
májáà lùlẹ̀ che dágō,The hide mobile is the wait
tódú àlèmú nítēlē  hì,The due apple to ask after the cook
dẹ̀ gb’ọ́lá kójì wèwè,The configuration Exercise replace the plenty
ákpẹ́nẹ́ -ákpénē hìjọ̀lọ̀ là lèrú,The hierarchical muddy buy the interact
já-tō údẹ́ mẹmù  làáléè,The assemble percent to end the pass
ọjó kà dọ́mọ́ ọ̀lọ̀,The seasonal say establish the proposal
ẹ̀gbà  néjú ìlówáà,The time believe the Foreigner
òké  chè  ẹ́kẹ́lū,The Unit do the fifth
ígbélé ẹ́yìbó néjú lọ̀ọ́,The ancient colonial believe the sick
ókó/ólé abalẹ íjíẹ̀,The Gender be the interest
éyí-Onú che rárẹ́,The Royal is the serve
énẹ̀-égbá Gbàá fẹ́,The practitioner Look the clean
ẹ́kẹ̀kẹ́ gòó ùrà,The hint consider the abundance
kpá-ójí gbà chẹ́,The conclude give the Fold
ójíle  ẹ́ñwu já ẹ̀bẹ́lẹ́,The good luck goods grate the chip
échí òhìmìnì kójì ọ̀tọ́tóhì,The Last sea replace the catalogue
kpakpalakpaa ẹ́nẹ́ gbá rá àkójì,The hard reader run the replacement
kó chʼe̩wñ álùgbó,The Had do the outcome
ẹ́kẹ́bie jẹ́ ínaà,The seventh convenient the inscription
Àmọmajàtá lí nyọ̀,The council see the attractive
ùkọ̀là du gbí,The phrase take the yield
hì one̩ gbá liẹ ,The cook someone take the crush
átúlè òményī jẹ́ ikò,The extra uncle convenient the occasion
kẹ́kẹ́ dàlọ lé ùchá-àtábáà,The minor distort beyond the pipe
jì ógbó dárú na,The bind old age separate the  rant
újà-ìyà ché ájà,The fracas dealing the enterprise
ọ́jọ́-ọ́jọ́ ẹ̀gbà  nítēlē  ègbà,The daily time to ask after the season
ée lìá ọ́gbá,The sure arrive the forward
ìbẹ́tẹ̀ àgbà kà ógijo,The sexual chin say the hero
nétí kojí éjú,The listen replace the appearance
tódú dábú dọ́mọ kà,The due approximately attempt the say
d’éjìjì ójúwó gbá àìkọ ,The nervous hill built the cock
Báíbùlù ójínó Gbàá èmímì,The Bible purposeful Look the grievance
úkọ́lọ́ lí ko̩la,The activity see the speak
éjúmomi bùñà ómùù,The pity allow the voice
ẹ́gbà àtá ché umola,The ideological dad made the wisdom
ìgbà ché ọ̀lọ̀ ọ́dákáda,The intervention dealing the texts
ẹ́bíjè éjú lé òkwúta,The surgical appearance beyond the stone
ògijo gbà kàkíníí sínímà,The elder give to say  the movie
